record_id,site_id,check_date,dispensed,discrepancy,temp_excursion
IP0086,SITE002,2024-01-18,9,False,False
IP0087,SITE002,2024-01-25,3,False,False
IP0088,SITE002,2024-02-01,6,False,False
IP0089,SITE002,2024-02-08,6,False,False
IP0090,SITE002,2024-02-15,1,False,False
IP0091,SITE002,2024-02-22,3,False,False
IP0092,SITE002,2024-02-29,3,False,False
IP0093,SITE002,2024-03-07,1,False,False
IP0094,SITE002,2024-03-14,3,False,False
IP0095,SITE002,2024-03-21,3,False,False
IP0096,SITE002,2024-03-28,9,True,False
IP0097,SITE002,2024-04-04,8,False,False
IP0098,SITE002,2024-04-11,10,False,False
IP0099,SITE002,2024-04-18,8,False,False
IP0100,SITE002,2024-04-25,8,False,False
IP0101,SITE002,2024-05-02,9,False,False
IP0102,SITE002,2024-05-09,10,False,False
IP0103,SITE002,2024-05-16,2,False,False
IP0104,SITE002,2024-05-23,4,False,False
IP0105,SITE003,2023-06-01,5,False,False
IP0106,SITE003,2023-06-08,8,False,False
IP0107,SITE003,2023-06-15,9,False,False
IP0108,SITE003,2023-06-22,10,False,False
IP0109,SITE003,2023-06-29,6,False,False
IP0110,SITE003,2023-07-06,7,False,False
IP0111,SITE003,2023-07-13,5,False,False
IP0112,SITE003,2023-07-20,8,False,False
IP0113,SITE003,2023-07-27,8,False,False
IP0114,SITE003,2023-08-03,8,False,False
IP0115,SITE003,2023-08-10,7,False,False
IP0116,SITE003,2023-08-17,10,False,False
IP0117,SITE003,2023-08-24,5,False,False
IP0118,SITE003,2023-08-31,6,False,False
IP0119,SITE003,2023-09-07,7,False,False
IP0120,SITE003,2023-09-14,5,False,False
IP0121,SITE003,2023-09-21,10,False,False
IP0122,SITE003,2023-09-28,3,False,False
IP0123,SITE003,2023-10-05,8,False,False
IP0124,SITE003,2023-10-12,10,False,False
IP0125,SITE003,2023-10-19,8,False,False
IP0126,SITE003,2023-10-26,3,False,False
IP0127,SITE003,2023-11-02,8,False,False
IP0128,SITE003,2023-11-09,5,False,False
IP0129,SITE003,2023-11-16,4,False,False
IP0130,SITE003,2023-11-23,8,False,False
IP0131,SITE003,2023-11-30,6,False,False
IP0132,SITE003,2023-12-07,5,False,False
IP0133,SITE003,2023-12-14,2,False,False
IP0134,SITE003,2023-12-21,1,False,False
IP0135,SITE003,2023-12-28,1,False,False
IP0136,SITE003,2024-01-04,3,False,False
IP0137,SITE003,2024-01-11,6,False,False
IP0138,SITE003,2024-01-18,6,False,False
IP0139,SITE003,2024-01-25,2,False,False
IP0140,SITE003,2024-02-01,3,False,False
IP0141,SITE003,2024-02-08,3,False,False
IP0142,SITE003,2024-02-15,5,False,False
IP0143,SITE003,2024-02-22,6,False,False
IP0144,SITE003,2024-02-29,3,False,False
IP0145,SITE003,2024-03-07,6,False,False
IP0146,SITE003,2024-03-14,3,False,False
IP0147,SITE003,2024-03-21,4,False,False
IP0148,SITE003,2024-03-28,9,False,False
IP0149,SITE003,2024-04-04,9,False,False
IP0150,SITE003,2024-04-11,2,False,False
IP0151,SITE003,2024-04-18,2,False,False
IP0152,SITE003,2024-04-25,8,False,False
IP0153,SITE003,2024-05-02,3,False,False
IP0154,SITE003,2024-05-09,10,False,False
IP0155,SITE003,2024-05-16,3,False,False
IP0156,SITE003,2024-05-23,2,False,False
IP0157,SITE004,2023-06-01,3,False,False
IP0158,SITE004,2023-06-08,4,False,False
IP0159,SITE004,2023-06-15,2,False,False
IP0160,SITE004,2023-06-22,7,False,False
IP0161,SITE004,2023-06-29,9,False,False
IP0162,SITE004,2023-07-06,5,False,False
IP0163,SITE004,2023-07-13,1,False,False
IP0164,SITE004,2023-07-20,10,False,False
IP0165,SITE004,2023-07-27,3,False,False
IP0166,SITE004,2023-08-03,3,False,False
IP0167,SITE004,2023-08-10,10,False,False
IP0168,SITE004,2023-08-17,9,False,False
IP0169,SITE004,2023-08-24,9,False,False
IP0170,SITE004,2023-08-31,10,False,False
IP0171,SITE004,2023-09-07,4,False,False
IP0172,SITE004,2023-09-14,9,False,False
IP0173,SITE004,2023-09-21,4,True,False
IP0174,SITE004,2023-09-28,8,False,False
IP0175,SITE004,2023-10-05,8,False,False
IP0176,SITE004,2023-10-12,6,False,False
IP0177,SITE004,2023-10-19,9,False,False
IP0178,SITE004,2023-10-26,6,False,False
IP0179,SITE004,2023-11-02,3,False,False
IP0180,SITE004,2023-11-09,5,False,False
IP0181,SITE004,2023-11-16,6,False,False
IP0182,SITE004,2023-11-23,8,False,False
IP0183,SITE004,2023-11-30,8,False,False
IP0184,SITE004,2023-12-07,7,False,False
IP0185,SITE004,2023-12-14,8,False,False
IP0186,SITE004,2023-12-21,1,False,False
IP0187,SITE004,2023-12-28,2,False,False
IP0188,SITE004,2024-01-04,2,False,False
IP0189,SITE004,2024-01-11,10,False,False
IP0190,SITE004,2024-01-18,3,False,False
IP0191,SITE004,2024-01-25,6,False,False
IP0192,SITE004,2024-02-01,7,False,False
IP0193,SITE004,2024-02-08,8,False,False
IP0194,SITE004,2024-02-15,10,False,False
IP0195,SITE004,2024-02-22,7,False,False
IP0196,SITE004,2024-02-29,7,False,False
IP0197,SITE004,2024-03-07,3,False,False
IP0198,SITE004,2024-03-14,5,False,False
IP0199,SITE004,2024-03-21,3,False,False
IP0200,SITE004,2024-03-28,2,False,False
IP0201,SITE004,2024-04-04,3,False,False
IP0202,SITE004,2024-04-11,3,False,False
IP0203,SITE004,2024-04-18,2,False,False
IP0204,SITE004,2024-04-25,8,False,False
IP0205,SITE004,2024-05-02,8,False,False
IP0206,SITE004,2024-05-09,6,False,False
IP0207,SITE004,2024-05-16,1,False,False
IP0208,SITE004,2024-05-23,7,False,False
IP0209,SITE005,2023-06-01,8,False,False
IP0210,SITE005,2023-06-08,8,False,False
IP0211,SITE005,2023-06-15,5,False,False
IP0212,SITE005,2023-06-22,7,False,False
IP0213,SITE005,2023-06-29,8,False,False
IP0214,SITE005,2023-07-06,8,False,False
IP0215,SITE005,2023-07-13,10,False,False
IP0216,SITE005,2023-07-20,3,False,False
IP0217,SITE005,2023-07-27,8,False,False
IP0218,SITE005,2023-08-03,6,False,False
IP0219,SITE005,2023-08-10,1,False,False
IP0220,SITE005,2023-08-17,6,False,False
IP0221,SITE005,2023-08-24,1,False,False
IP0222,SITE005,2023-08-31,7,False,False
IP0223,SITE005,2023-09-07,6,False,False
IP0224,SITE005,2023-09-14,4,False,False
IP0225,SITE005,2023-09-21,10,False,False
IP0226,SITE005,2023-09-28,5,False,False
IP0227,SITE005,2023-10-05,9,False,False
IP0228,SITE005,2023-10-12,7,False,False
IP0229,SITE005,2023-10-19,5,False,False
IP0230,SITE005,2023-10-26,1,False,False
IP0231,SITE005,2023-11-02,7,False,False
IP0232,SITE005,2023-11-09,8,False,False
IP0233,SITE005,2023-11-16,6,False,False
IP0234,SITE005,2023-11-23,6,False,False
IP0235,SITE005,2023-11-30,7,False,False
IP0236,SITE005,2023-12-07,2,False,False
IP0237,SITE005,2023-12-14,5,False,False
IP0238,SITE005,2023-12-21,10,False,False
IP0239,SITE005,2023-12-28,2,False,False
IP0240,SITE005,2024-01-04,10,False,False
IP0241,SITE005,2024-01-11,9,False,False
IP0242,SITE005,2024-01-18,2,False,False
IP0243,SITE005,2024-01-25,5,False,False
IP0244,SITE005,2024-02-01,4,False,False
IP0245,SITE005,2024-02-08,9,False,False
IP0246,SITE005,2024-02-15,3,False,False
IP0247,SITE005,2024-02-22,9,False,False
IP0248,SITE005,2024-02-29,4,False,False
IP0249,SITE005,2024-03-07,8,False,False
IP0250,SITE005,2024-03-14,10,False,False
IP0251,SITE005,2024-03-21,10,False,False
IP0252,SITE005,2024-03-28,4,False,False
IP0253,SITE005,2024-04-04,3,False,False
IP0254,SITE005,2024-04-11,7,False,False
IP0255,SITE005,2024-04-18,2,False,False
IP0256,SITE005,2024-04-25,5,False,False
IP0257,SITE005,2024-05-02,5,False,False
IP0258,SITE005,2024-05-09,4,False,False
IP0259,SITE005,2024-05-16,4,False,False
IP0260,SITE005,2024-05-23,8,False,False
